Row Labels,2015 1,2015 2,2015 3
J1,1,0,0
J12,0,0,0
J16,0,1,1
J18,0,0,1
J21,0,0,0
J23,0,0,0
J3,1,0,0
J7,0,0,0
J9,0,0,0
K10,0,0,
K12,0,0,
K15,1,0,
K17,0,0,
K18,1,0,
K2,1,0,
K22,0,0,
K6,0,0,
K7,1,0,
K9,0,0,
L12,0,0,
L16,1,0,
L18,2,1,
L21,0,0,
L23,2,1,
L24,0,0,
L6,0,0,0
L9,0,0,0
L99,0,0,
M1,0,0,
M10,1,0,
M12,0,1,0
M14,1,1,
M16,2,0,
M20,0,0,0
M22,0,0,0
M25,0,0,0
M3,2,1,
M5,1,0,
M7,1,0,0
N11,0,0,
N12,0,0,
N14,0,0,
N17,0,0,
N2,1,2,
N20,0,0,
N23,0,0,
N26,1,1,
N4,0,0,
N6,0,0,
N9,0,0,
P13,0,0,
P16,0,0,
P17,1,1,
P21,2,1,
P22,0,0,
P26,0,1,
P3,0,0,
P9,0,0,
Q11,1,0,
Q12,0,0,
Q15,0,1,
Q19,0,0,
Q2,0,0,
Q23,0,0,
Q4,1,2,
Q5,0,1,
Q7,0,0,
R1,3,3,3
R12,2,0,2
R14,0,0,0
R16,2,0,0
R18,0,0,1
R20,0,0,0
R25,1,1,0
R3,0,0,1
R5,0,1,1
R6,0,1,0
R8,0,1,0
