PointName,AREA,Route 
J1,CURE,JR
J12,CURE,JR
J16,CURE,JR
J18,CURE,JR
J21,CURE,JR
J23,CURE,JR
J3,CURE,JR
J7,CURE,JR
J9,CURE,JR
K10,CURE,LK
K12,CURE,LK
K15,CURE,LK
K17,CURE,LK
K18,CURE,LK
K2,CURE,LK
K22,CURE,LK
K6,CURE,LK
K7,CURE,LK
K9,CURE,LK
L12,CURE,LK
L16,CURE,LK
L18,CURE,LK
L21,CURE,LK
L23,CURE,LK
L24,CURE,LK
L6,CURE,LK
L9,CURE,LK
L99,CURE,LK
M1,CONTROL,MN
M10,CONTROL,MN
M12,CONTROL,MN
M14,CONTROL,MN
M16,CONTROL,MN
M20,CONTROL,MN
M22,CONTROL,MN
M25,CONTROL,MN
M3,CONTROL,MN
M5,CONTROL,MN
M7,CONTROL,MN
N11,CONTROL,MN
N12,CONTROL,PQ
N14,CONTROL,PQ
N17,CONTROL,MN
N2,CONTROL,MN
N20,CONTROL,MN
N23,CONTROL,MN
N26,CONTROL,MN
N4,CONTROL,MN
N6,CONTROL,MN
N9,CONTROL,MN
P13,CONTROL,PQ
P16,CONTROL,PQ
P17,CONTROL,PQ
P21,CONTROL,PQ
P22,CONTROL,PQ
P26,CONTROL,PQ
P3,CONTROL,PQ
P9,CONTROL,PQ
Q11,CONTROL,PQ
Q12,CONTROL,PQ
Q15,CONTROL,PQ
Q19,CONTROL,PQ
Q2,CONTROL,PQ
Q23,CONTROL,PQ
Q4,CONTROL,PQ
Q5,CONTROL,PQ
Q7,CONTROL,PQ
R1,CURE,JR
R12,CURE,JR
R14,CURE,JR
R16,CURE,JR
R18,CURE,JR
R20,CURE,JR
R25,CURE,JR
R3,CURE,JR
R5,CURE,JR
R6,CURE,JR
R8,CURE,JR
