PointName,Date,TotalBACS,Time,Temp,Wind ,Cloud
J1,125,1,454,56,1,0
J1,126,0,362,52,0,0
J1,127,0,366,62,0,85
J12,125,0,645,74,1,1
J12,126,0,423,55,0,0
J12,127,0,412,65,0,85
J16,125,0,630,73,4,1
J16,126,1,439,55,0,0
J16,127,1,425,65,0,85
J18,126,0,656,80,0,75
J18,126,0,462,57,0,0
J18,127,1,436,65,0,90
J21,126,0,638,80,0,50
J21,126,0,515,57,0,0
J21,127,0,456,65,0,80
J23,125,0,484,56,1,0
J23,126,0,494,57,0,0
J23,127,0,475,65,0,75
J3,125,1,447,56,1,0
J3,126,0,372,52,0,0
J3,127,0,356,60,5,75
J7,125,0,435,56,1,0
J7,126,0,381,52,0,0
J7,127,0,345,60,0,75
J9,125,0,665,75,4,5
J9,126,0,401,55,0,0
J9,127,0,395,62,0,80
R1,125,3,418,56,1,0
R1,126,3,516,60,0,0
R1,127,3,405,65,0,75
R12,125,2,533,64,1,2
R12,126,0,375,65,0,10
R12,127,2,552,65,10,70
R14,125,0,363,64,4,4
R14,126,0,576,70,0,10
R14,127,0,346,65,5,80
R16,125,2,564,64,4,4
R16,126,0,476,70,0,30
R16,127,0,446,65,5,80
R18,125,0,388,64,4,2
R18,126,0,596,70,0,40
R18,127,1,465,65,10,90
R20,125,0,461,64,1,2
R20,126,0,445,70,0,40
R20,127,0,482,65,10,95
R25,125,1,432,56,1,0
R25,126,1,500,57,0,0
R25,127,0,490,65,10,95
R3,125,0,353,56,1,0
R3,126,0,505,60,0,0
R3,127,1,384,65,0,75
R5,125,0,558,57,1,0
R5,126,1,614,60,0,0
R5,127,1,540,65,0,75
R6,125,0,431,57,1,0
R6,126,1,526,60,0,0
R6,127,0,416,65,5,60
R8,125,0,510,57,1,2
R8,126,1,400,60,0,5
R8,127,0,586,65,5,60
K10,125,0,613,58,0,0
K10,128,0,628,64,4,0
K12,125,0,573,55,0,5
K12,128,0,602,64,1,2
K15,125,1,346,55,0,0
K15,128,0,607,70,4,2
K17,125,0,376,55,0,0
K17,128,0,347,70,4,2
K18,125,1,361,54,0,0
K18,128,0,573,70,4,2
K2,125,1,416,62,0,0
K2,128,0,503,62,4,0
K22,125,0,681,55,0,0
K22,128,0,373,70,4,15
K6,125,0,515,62,0,0
K6,128,0,385,62,1,0
K7,125,1,524,60,0,0
K7,128,0,395,64,1,0
K9,125,0,465,58,0,0
K9,128,0,646,64,4,0
L12,125,0,544,62,0,0
L12,128,0,479,61,1,2
L16,125,1,634,62,0,0
L16,128,0,560,61,1,5
L18,125,2,490,75,0,5
L18,128,1,625,74,4,20
L21,125,0,350,70,0,0
L21,128,0,355,62,1,0
L23,125,2,452,65,0,0
L23,128,1,366,62,1,0
L24,125,0,443,62,0,0
L24,128,0,549,61,1,0
L6,125,0,663,80,0,5
L6,126,0,427,80,0,50
L6,128,0,426,74,8,35
L9,125,0,508,78,0,5
L9,126,0,428,75,0,50
L9,128,0,408,61,1,0
L99,125,0,438,82,0,5
L99,127,0,403,62,0,80
M1,126,0,644,50,0,0
M1,127,0,586,57,0,100
M10,126,1,376,72,0,40
M10,127,0,463,59,2,100
M12,126,0,437,60,0,15
M12,127,1,519,70,10,100
M12,127,0,448,59,0,100
M14,126,1,530,65,0,20
M14,127,1,535,59,0,100
M16,126,2,404,65,0,25
M16,127,0,391,59,0,100
M20,126,0,474,55,0,15
M20,127,0,401,65,10,95
M20,127,0,483,61,6,50
M22,126,0,413,55,0,15
M22,127,0,495,65,10,95
M22,127,0,609,61,4,50
M25,126,0,553,60,0,20
M25,127,0,596,65,10,95
M25,127,0,518,57,2,100
M3,126,2,578,50,0,0
M3,127,1,536,59,0,100
M5,126,1,540,50,0,0
M5,127,0,493,59,2,100
M7,126,1,515,72,0,25
M7,127,0,478,65,10,100
M7,127,0,501,59,0,100
N11,126,0,466,53,0,10
N11,127,0,623,61,0,50
N17,125,0,560,65,1,0
N17,128,0,633,10,10,15
N2,126,1,572,50,0,0
N2,127,2,464,59,2,100
N20,126,0,379,55,0,10
N20,127,0,453,61,3,50
N23,126,0,389,55,0,10
N23,127,0,418,61,3,50
N26,126,1,418,70,0,35
N26,127,1,405,59,0,100
N4,126,0,431,50,0,0
N4,127,0,365,60,0,100
N6,126,0,345,53,0,10
N6,127,0,390,60,0,80
N9,126,0,442,53,0,15
N9,127,0,376,61,0,80
N12,125,0,356,53,0,0
N12,128,0,490,60,5,0
N14,125,0,455,58,0,0
N14,128,0,476,60,5,0
P13,125,0,368,65,0,0
P13,128,0,496,10,10,5
P16,125,0,539,65,0,0
P16,128,0,486,10,10,10
P17,125,1,560,65,0,0
P17,128,1,607,10,10,10
P21,125,2,550,65,0,0
P21,128,1,578,10,10,0
P22,125,0,618,65,0,0
P22,128,0,563,10,10,0
P26,125,0,588,64,0,0
P26,128,1,628,10,10,0
P3,125,0,574,65,0,0
P3,128,0,593,10,10,5
P9,125,0,637,65,0,0
P9,128,0,583,10,10,10
Q11,125,1,607,58,0,0
Q11,128,0,645,60,5,0
Q12,125,0,593,58,0,0
Q12,128,0,466,60,5,0
Q15,125,0,481,53,0,0
Q15,128,1,605,60,5,0
Q19,125,0,510,53,0,0
Q19,128,0,552,60,5,0
Q2,125,0,501,52,0,0
Q2,128,0,523,60,0,0
Q23,125,0,565,52,0,0
Q23,128,0,513,65,5,0
Q4,125,1,532,52,0,0
Q4,128,2,576,60,0,0
Q5,125,0,524,64,0,0
Q5,128,1,546,65,10,0
Q7,125,0,591,58,0,0
Q7,128,0,534,60,0,0
